Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
Alaska Ecosystem Complex,FINSS Survey,GOA/EBS/AI Longline Survey,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Sablefish , Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Sablefish , Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Sablefish , Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2022,12,Secondary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Sablefish - Pacific Coast,Sablefish , Pacific Coast,2021,6,Primary
California Current,Other Survey,ALASKA FISHERIES SCIENCE CENTER SLOPE SURVEY - Discontinued,Sablefish - Pacific Coast,Sablefish , Pacific Coast,2021,6,Primary
California Current,Other Survey,NORTHWEST FISHERIES SCIENCE CENTER SLOPE SURVEY - Discontinued in 2002,Sablefish - Pacific Coast,Sablefish , Pacific Coast,2021,6,Primary
California Current,Other Survey,TRIENNIAL SHELF SURVEY - Discontinued,Sablefish - Pacific Coast,Sablefish , Pacific Coast,2021,6,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Sailfish - Western Atlantic,Sailfish , Western Atlantic,2016,10,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Sailfish - Western Atlantic,Sailfish , Western Atlantic,2016,10,Primary
California Current,Commercial CPUE,Commercial CPUE,Sand sole - Pacific Coast,Sand sole , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Sand sole - Pacific Coast,Sand sole , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Sand sole - Pacific Coast,Sand sole , Pacific Coast,2010,9,Secondary
Atlantic Highly Migratory,FINSS Survey,Coastal Shark Bottom Longline,Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,FINSS Survey,MARMAP Reef Fish Long Bottom Longline Survey (SCDNR),Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,FINSS Survey,SEFSC Shark/Red Snapper Bottom Longline Survey,Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,Other Survey,GA COASTSPAN Longline SEDAR21-DW-29 Georgia Department of Natural Resources (GADNR) Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey conducted in Georgia estuarine and near-shore waters Other Survey Primary (Intermittent 2000-2009),Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,Other Survey,"NMFS COASTSPAN Longline SEDAR21-DW-27 Northeast Fisheries Science Center, Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey in Delaware Bay; Other Survey; Primary (Annual 2001-2009)",Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,Other Survey,"Panama City Gillnet SEDAR21-DW-01 Southeast Fisheries Science Center, Panama City Lab Other Survey Primary (intermittent 1996-2009)",Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,Other Survey,SC COASTSPAN Longline SEDAR21-DW-30 South Carolina Department of Natural Resources (SCDNR) Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey conducted in South Carolina estuarine and near-shore waters Other Survey Primary (Annual 1998-2009),Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Atlantic Highly Migratory,Other Survey,VIMS Longline SEDAR21-DW-18 Virginia Institute of Marine Science Other Survey Primary (Intermittent 1975-2009),Sandbar shark - Atlantic and Gulf of Mexico,Sandbar shark , Atlantic and Gulf of Mexico,2018,3,Primary
Gulf of Mexico,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Scamp - Gulf of Mexico | Asmt,Scamp , Gulf of Mexico | Asmt,2022,8,Primary
Gulf of Mexico,FINSS Survey,SEAMAP Gulf of Mexico Reef Fish Monitoring (FFWCC),Scamp - Gulf of Mexico | Asmt,Scamp , Gulf of Mexico | Asmt,2022,8,Primary
Gulf of Mexico,FINSS Survey,SEAMAP Reef Fish Camera/Trap,Scamp - Gulf of Mexico | Asmt,Scamp , Gulf of Mexico | Asmt,2022,8,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Scup - Atlantic Coast,Scup , Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Scup - Atlantic Coast,Scup , Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Winter,Scup - Atlantic Coast,Scup , Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Fall,Scup - Atlantic Coast,Scup , Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Spring,Scup - Atlantic Coast,Scup , Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,"Misc State and other surveys: RI DFW (spring, fall), URI GSO, Rhode Island Coop Trap, CT DEEP (spring, fall), NY DEC, NJ DFW, VIMS Chesapeake Bay, VIMS Juvenile Fish Trawl, NEAMAP (spring, fall)",Scup - Atlantic Coast,Scup , Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Winter,Sea scallop - Northwestern Atlantic Coast,Sea scallop , Northwestern Atlantic Coast,2020,9,Primary
Northeast Shelf,FINSS Survey,Northeast Sea Scallop_Summer,Sea scallop - Northwestern Atlantic Coast,Sea scallop , Northwestern Atlantic Coast,2020,9,Primary
Northeast Shelf,Other Survey,UMass Dartmouth?s School for Marine Science & Technology (SMAST) video surveys,Sea scallop - Northwestern Atlantic Coast,Sea scallop , Northwestern Atlantic Coast,2020,9,Primary
Northeast Shelf,Other Survey,VIMS dredge survey,Sea scallop - Northwestern Atlantic Coast,Sea scallop , Northwestern Atlantic Coast,2020,9,Primary
Northeast Shelf,Other Method,Arnie's Fisheries Optical Survey,Sea scallop - Northwestern Atlantic Coast,Sea scallop , Northwestern Atlantic Coast,2020,9,Secondary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Sharpchin rockfish - Pacific Coast,Sharpchin rockfish , Pacific Coast,2013,9,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in timing of the survey.",Sharpchin rockfish - Pacific Coast,Sharpchin rockfish , Pacific Coast,2013,9,Primary
California Current,FINSS Survey,CalCOFI_Spring,Shortbelly rockfish - Pacific Coast,Shortbelly rockfish , Pacific Coast,2007,6,Primary
California Current,FINSS Survey,CalCOFI_Winter,Shortbelly rockfish - Pacific Coast,Shortbelly rockfish , Pacific Coast,2007,6,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Shortbelly rockfish - Pacific Coast,Shortbelly rockfish , Pacific Coast,2007,6,Primary
California Current,Other Survey,SWFSC Annual Pinniped survey on CA Coast and Islands (conducted by M. Lowry at SWFSC),Shortbelly rockfish - Pacific Coast,Shortbelly rockfish , Pacific Coast,2007,6,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Shortbelly rockfish - Pacific Coast,Shortbelly rockfish , Pacific Coast,2007,6,Secondary
California Current,Other Survey,Seabird Food Habits Survey (1975-2004) by the Point Reyes Bird Observatory (PRBO) on the Southeast Farallon Islands.,Shortbelly rockfish - Pacific Coast,Shortbelly rockfish , Pacific Coast,2007,6,Secondary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Shortfin mako - North Pacific,Shortfin mako , North Pacific,2018,7,Primary
Pacific Highly Migratory,Other Method,The National Research Institute of Far Seas Fisheries in Japan has been collecting data from research and training vessels (RTV) since 1992.,Shortfin mako - North Pacific,Shortfin mako , North Pacific,2018,7,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Shortnosed unicornfish - Main Hawaiian Islands | Asmt,Shortnosed unicornfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Shortnosed unicornfish - Main Hawaiian Islands | Asmt,Shortnosed unicornfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Shortnosed unicornfish - Main Hawaiian Islands | Asmt,Shortnosed unicornfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Shortraker rockfish - Bering Sea / Aleutian Islands,Shortraker rockfish , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Shortraker rockfish - Bering Sea / Aleutian Islands,Shortraker rockfish , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GOA/EBS/AI Longline Survey,Shortraker rockfish - Gulf of Alaska,Shortraker rockfish , Gulf of Alaska,2021,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Shortraker rockfish - Gulf of Alaska,Shortraker rockfish , Gulf of Alaska,2021,12,Primary
California Current,Commercial CPUE,Commercial CPUE,Shortraker rockfish - Pacific Coast,Shortraker rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Shortraker rockfish - Pacific Coast,Shortraker rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Shortraker rockfish - Pacific Coast,Shortraker rockfish , Pacific Coast,2010,9,Secondary
Alaska Ecosystem Complex,FINSS Survey,GOA/EBS/AI Longline Survey,Shortspine thornyhead - Gulf of Alaska,Shortspine thornyhead , Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Shortspine thornyhead - Gulf of Alaska,Shortspine thornyhead , Gulf of Alaska,2022,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Shortspine thornyhead - Pacific Coast,Shortspine thornyhead , Pacific Coast,2019,10,Primary
California Current,Other Survey,Discontinued -- AFSC + NEFSC slope bottom trawl,Shortspine thornyhead - Pacific Coast,Shortspine thornyhead , Pacific Coast,2019,10,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. The survey was separated into two indices; shallowfrom 55-366 meters (1980-2004), the deeper range of triennial shelf survey from 366-500 meters for the later years (1995-2004).",Shortspine thornyhead - Pacific Coast,Shortspine thornyhead , Pacific Coast,2019,10,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Silky shark - Western and Central Pacific,Silky shark , Western and Central Pacific,2018,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Silver hake - Gulf of Maine / Northern Georges Bank,Silver hake , Gulf of Maine / Northern Georges Bank,2020,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Silver hake - Gulf of Maine / Northern Georges Bank,Silver hake , Gulf of Maine / Northern Georges Bank,2020,9,Secondary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Silver hake - Southern Georges Bank / Mid-Atlantic | Asmt & Status,Silver hake , Southern Georges Bank / Mid-Atlantic,2020,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Silver hake - Southern Georges Bank / Mid-Atlantic | Asmt & Status,Silver hake , Southern Georges Bank / Mid-Atlantic,2020,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Silvergray rockfish - Pacific Coast,Silvergray rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Silvergray rockfish - Pacific Coast,Silvergray rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Silvergray rockfish - Pacific Coast,Silvergray rockfish , Pacific Coast,2010,9,Secondary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Skipjack tuna - Eastern Pacific,Skipjack tuna , Eastern Pacific,2018,5,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Skipjack tuna - Western and Central Pacific,Skipjack tuna , Western and Central Pacific,2019,8,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Skipjack tuna - Western Atlantic,Skipjack tuna , Western Atlantic,2022,5,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Sleek unicornfish - Main Hawaiian Islands | Asmt,Sleek unicornfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Sleek unicornfish - Main Hawaiian Islands | Asmt,Sleek unicornfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Sleek unicornfish - Main Hawaiian Islands | Asmt,Sleek unicornfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Atlantic Highly Migratory,FINSS Survey,Bottom Trawl Survey_Fall,Smooth dogfish - Atlantic,Smooth dogfish , Atlantic,2015,3,Primary
Atlantic Highly Migratory,FINSS Survey,Massachusetts DMF Bottom Trawl_Fall,Smooth dogfish - Atlantic,Smooth dogfish , Atlantic,2015,3,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Fall (SCDNR),Smooth dogfish - Atlantic,Smooth dogfish , Atlantic,2015,3,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Smooth skate - Gulf of Maine | Asmt & Status,Smooth skate , Gulf of Maine | Asmt & Status,2022,8,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Snow crab - Bering Sea,Snow crab , Bering Sea,2022,10,Primary
Southeast Shelf,FINSS Survey,MARMAP Reef Fish Long Bottom Longline Survey (SCDNR),Snowy grouper - Southern Atlantic Coast,Snowy grouper , Southern Atlantic Coast,2021,2,Primary
Southeast Shelf,FINSS Survey,MARMAP/SEAMAP South Atlantic Reef Fish (SCDNR),Snowy grouper - Southern Atlantic Coast,Snowy grouper , Southern Atlantic Coast,2021,2,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,Snowy grouper - Southern Atlantic Coast,Snowy grouper , Southern Atlantic Coast,2021,2,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Southern Tanner crab - Bering Sea,Southern Tanner crab , Bering Sea,2022,10,Primary
Alaska Ecosystem Complex,Commercial CPUE,Commercial CPUE,Southern Tanner crab - Bering Sea,Southern Tanner crab , Bering Sea,2022,10,Secondary
Alaska Ecosystem Complex,Other Method,Observer Data,Southern Tanner crab - Bering Sea,Southern Tanner crab , Bering Sea,2022,10,Secondary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,Spanish mackerel - Gulf of Mexico,Spanish mackerel , Gulf of Mexico,2013,8,Primary
Gulf of Mexico,FINSS Survey,SEAMAP Plankton_Fall,Spanish mackerel - Gulf of Mexico,Spanish mackerel , Gulf of Mexico,2013,8,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,Spanish mackerel - Gulf of Mexico,Spanish mackerel , Gulf of Mexico,2013,8,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Spanish mackerel - Gulf of Mexico,Spanish mackerel , Gulf of Mexico,2013,8,Primary
Southeast Shelf,Commercial CPUE,Commercial CPUE,Spanish mackerel - Southern Atlantic Coast,Spanish mackerel , Southern Atlantic Coast,2013,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Fall (SCDNR),Spanish mackerel - Southern Atlantic Coast,Spanish mackerel , Southern Atlantic Coast,2013,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Spring (SCDNR),Spanish mackerel - Southern Atlantic Coast,Spanish mackerel , Southern Atlantic Coast,2013,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Summer (SCDNR),Spanish mackerel - Southern Atlantic Coast,Spanish mackerel , Southern Atlantic Coast,2013,4,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,Spanish mackerel - Southern Atlantic Coast,Spanish mackerel , Southern Atlantic Coast,2013,4,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Spanner crab - Main Hawaiian Islands,Spanner crab , Main Hawaiian Islands,2019,2,Primary
California Current,Commercial CPUE,Commercial CPUE,Speckled rockfish - Pacific Coast,Speckled rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Speckled rockfish - Pacific Coast,Speckled rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Speckled rockfish - Pacific Coast,Speckled rockfish , Pacific Coast,2010,9,Secondary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Spectacled parrotfish - Main Hawaiian Islands | Asmt,Spectacled parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Spectacled parrotfish - Main Hawaiian Islands | Asmt,Spectacled parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Spectacled parrotfish - Main Hawaiian Islands | Asmt,Spectacled parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Spiny dogfish - Atlantic Coast,Spiny dogfish , Atlantic Coast,2018,8,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Spiny dogfish - Pacific Coast,Spiny dogfish , Pacific Coast,2021,11,Primary
California Current,Other Survey,AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued.,Spiny dogfish - Pacific Coast,Spiny dogfish , Pacific Coast,2021,11,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in timing of the survey.",Spiny dogfish - Pacific Coast,Spiny dogfish , Pacific Coast,2021,11,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current) which is assumed to be Groundfish Bottom Trawl Survey in this drop-down list.",Spiny dogfish - Pacific Coast,Spiny dogfish , Pacific Coast,2021,11,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Splitnose rockfish - Pacific Coast,Splitnose rockfish , Pacific Coast,2009,6,Primary
California Current,Other Survey,AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued.,Splitnose rockfish - Pacific Coast,Splitnose rockfish , Pacific Coast,2009,6,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Splitnose rockfish - Pacific Coast,Splitnose rockfish , Pacific Coast,2009,6,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current) which is assumed to be Groundfish Bottom Trawl Survey in this drop-down list.",Splitnose rockfish - Pacific Coast,Splitnose rockfish , Pacific Coast,2009,6,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Squarespot rockfish - Pacific Coast,Squarespot rockfish , Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Squarespot rockfish - Pacific Coast,Squarespot rockfish , Pacific Coast,2021,9,Secondary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Stareye parrotfish - Main Hawaiian Islands | Asmt,Stareye parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Stareye parrotfish - Main Hawaiian Islands | Asmt,Stareye parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Stareye parrotfish - Main Hawaiian Islands | Asmt,Stareye parrotfish , Main Hawaiian Islands | Asmt,2017,2,Primary
California Current,Commercial CPUE,Commercial CPUE,Starry flounder - Pacific Coast,Starry flounder , Pacific Coast,2005,12,Primary
California Current,Other Survey,CDFG and Interagency Ecological Program Pre-Recruit Survey,Starry flounder - Pacific Coast,Starry flounder , Pacific Coast,2005,12,Secondary
California Current,Commercial CPUE,Commercial CPUE,Starry rockfish - Pacific Coast,Starry rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Starry rockfish - Pacific Coast,Starry rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Starry rockfish - Pacific Coast,Starry rockfish , Pacific Coast,2010,9,Secondary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Steephead parrotfish - Guam | Asmt,Steephead parrotfish , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Steephead parrotfish - Guam | Asmt,Steephead parrotfish , Guam | Asmt,2019,5,Secondary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Striped marlin - Western and Central North Pacific,Striped marlin , Western and Central North Pacific,2019,7,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Stripetail rockfish - Pacific Coast,Stripetail rockfish , Pacific Coast,2013,9,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in timing of the survey.",Stripetail rockfish - Pacific Coast,Stripetail rockfish , Pacific Coast,2013,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Summer flounder - Mid-Atlantic Coast,Summer flounder ,Mid-Atlantic,2021,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Winter,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Fall,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Spring,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS),Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,CT trawl survey spring and fall,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,"DE, NY, NJ trawl surveys",Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,RI trawl survey,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,NEFSC ECOMON and MARMAP larval surveys,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,Other Survey,URI GSO trawl survey,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,Other Survey,VIMS ChesMMAP,Summer flounder - Mid-Atlantic Coast,Summer flounder , Mid-Atlantic Coast,2021,6,Secondary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Swordfish - North Atlantic,Swordfish , North Atlantic,2022,6,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Swordfish - Western and Central North Pacific,Swordfish , Western and Central North Pacific,2018,8,Primary
California Current,Commercial CPUE,Commercial CPUE,Swordspine rockfish - Pacific Coast,Swordspine rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Swordspine rockfish - Pacific Coast,Swordspine rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Swordspine rockfish - Pacific Coast,Swordspine rockfish , Pacific Coast,2010,9,Secondary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Thorny skate - Gulf of Maine | Asmt & Status,Thorny skate , Gulf of Maine | Asmt & Status,2022,8,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Thresher shark - North Pacific,Thresher shark , North Pacific,2018,5,Primary
Pacific Highly Migratory,FINSS Survey,West Coast Thresher Shark Longline,Thresher shark - North Pacific,Thresher shark , North Pacific,2018,5,Primary
California Current,Commercial CPUE,Commercial CPUE,Tiger rockfish - Pacific Coast,Tiger rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Tiger rockfish - Pacific Coast,Tiger rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Tiger rockfish - Pacific Coast,Tiger rockfish , Pacific Coast,2010,9,Secondary
Gulf of Mexico,FINSS Survey,Gulf of Mexico Pelagic Longline,Tilefish - Gulf of Mexico,Tilefish , Gulf of Mexico,2011,7,Primary
Gulf of Mexico,Other Survey,MARMAP,Tilefish - Gulf of Mexico,Tilefish , Gulf of Mexico,2011,7,Primary
Northeast Shelf,Commercial CPUE,Commercial CPUE,Tilefish - Mid-Atlantic Coast,Tilefish , Mid-Atlantic Coast,2021,6,Primary
Southeast Shelf,Commercial CPUE,Commercial CPUE,Tilefish - Southern Atlantic Coast,Tilefish , Southern Atlantic Coast,2021,5,Primary
Southeast Shelf,FINSS Survey,MARMAP Reef Fish Long Bottom Longline Survey (SCDNR),Tilefish - Southern Atlantic Coast,Tilefish , Southern Atlantic Coast,2021,5,Primary
California Current,Commercial CPUE,Commercial CPUE,Tope - Pacific Coast,Tope , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Tope - Pacific Coast,Tope , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Tope - Pacific Coast,Tope , Pacific Coast,2010,9,Secondary
